STATE,STATE_LOWER,COUNTY,COUNTY_STATE,METRO_FLAG,POULATION,VIOLENT_CRIME,CRIMES_PER_THOUSAND,MURDER_NON_NEGLIGENT_MANSLAUGHTER,RAPE_REVISED_DEFINITION,RAPE_LEGACTY_DEFINITION,ROBBERY,AGGRAVATED_ASSAULT,PROPERTY_CRIME,BURGLARY,LARCENY_THEFT,MOTOR_VEHICLE_THEFT,ARSON
Minnesota,minnesota,Anoka,Anoka County Minnesota,Metropolitan Counties,"344,151",88,0.2557,0,48,,6,34,"1,060",175,816,69,3
Florida,florida,Marion,Marion County Florida,Metropolitan Counties,"343,254",845,2.4617,6,88,,87,664,"3,918","1,197","2,482",239,7
Utah,utah,Davis,Davis County Utah,Metropolitan Counties,"336,043",12,0.0357,1,3,,0,8,172,36,119,17,0
Virginia,virginia,Chesterfield County Police Department,Chesterfield County Virginia,Metropolitan Counties,"335,687",493,1.4686,9,94,,183,207,"6,365","1,107","5,017",241,54
Texas,texas,Bell,Bell County Texas,Metropolitan Counties,"334,941",107,0.3195,2,29,,6,70,792,228,481,83,12
New Jersey,new jersey,Somerset,Somerset County New Jersey,Metropolitan Counties,"333,654",1,0.003,0,0,,0,1,1,0,1,0,0
Colorado,colorado,Larimer,Larimer County Colorado,Metropolitan Counties,"333,577",168,0.5036,3,32,,8,125,"1,035",204,729,102,10
Oregon,oregon,Marion,Marion County Oregon,Metropolitan Counties,"330,700",70,0.2117,2,,19,17,32,"1,906",342,"1,282",282,7
New York,new york,Rockland,Rockland County New York,Metropolitan Counties,"326,037",19,0.0583,0,1,,0,18,23,1,19,3,0
Florida,florida,Lake,Lake County Florida,Metropolitan Counties,"325,875",447,1.3717,6,54,,39,348,"2,565",744,"1,670",151,11
Virginia,virginia,Henrico County Police Department,Henrico County Virginia,Metropolitan Counties,"325,155",476,1.4639,11,31,,177,257,"8,026","1,242","6,474",310,34
Florida,florida,Osceola,Osceola County Florida,Metropolitan Counties,"323,993",780,2.4075,6,76,,91,607,"4,595","1,141","3,251",203,2
Colorado,colorado,Douglas,Douglas County Colorado,Metropolitan Counties,"322,387",164,0.5087,1,60,,9,94,"1,649",301,"1,219",129,25
Texas,texas,Galveston,Galveston County Texas,Metropolitan Counties,"322,225",125,0.3879,3,29,,21,72,"1,046",275,678,93,12
Colorado,colorado,Boulder,Boulder County Colorado,Metropolitan Counties,"319,372",106,0.3319,0,28,,6,72,527,135,360,32,9
Maryland,maryland,Howard,Howard County Maryland,Metropolitan Counties,"313,414",0,0,0,0,,0,0,0,0,0,0,0
Maryland,maryland,Howard County Police Department,Howard County Maryland,Metropolitan Counties,"313,414",719,2.2941,2,69,,225,423,"5,298",785,"4,309",204,33
Florida,florida,Escambia,Escambia County Florida,Metropolitan Counties,"311,003","1,764",5.672,20,165,,319,"1,260","9,865","2,193","7,148",524,23
New York,new york,Albany,Albany County New York,Metropolitan Counties,"309,381",17,0.0549,0,4,,1,12,110,34,72,4,0
South Carolina,south carolina,Horry,Horry County South Carolina,Metropolitan Counties,"309,199",1,0.0032,0,0,,0,1,8,0,8,0,0
South Carolina,south carolina,Horry County Police Department,Horry County South Carolina,Metropolitan Counties,"309,199",753,2.4353,41,154,,85,473,"6,539","1,505","4,503",531,57
Illinois,illinois,McHenry,McHenry County Illinois,Metropolitan Counties,"307,343",73,0.2375,0,22,,1,50,414,93,318,3,1
Nebraska,nebraska,Lancaster,Lancaster County Nebraska,Metropolitan Counties,"306,468",20,0.0653,0,,7,2,11,215,74,130,11,4
Ohio,ohio,Lorain,Lorain County Ohio,Metropolitan Counties,"305,147",43,0.1409,0,18,,13,12,807,307,471,29,16
New Hampshire,new hampshire,Rockingham,Rockingham County New Hampshire,Metropolitan Counties,"301,777",10,0.0331,0,1,,0,9,5,0,4,1,0
North Carolina,north carolina,Durham,Durham County North Carolina,Metropolitan Counties,"300,952",56,0.1861,3,,2,14,37,711,379,290,42,0
Pennsylvania,pennsylvania,Northampton,Northampton County Pennsylvania,Metropolitan Counties,"300,813",0,0,0,0,,0,0,0,0,0,0,0
Texas,texas,Lubbock,Lubbock County Texas,Metropolitan Counties,"299,453",111,0.3707,1,18,,12,80,829,237,523,69,2
Tennessee,tennessee,Rutherford,Rutherford County Tennessee,Metropolitan Counties,"298,612",208,0.6966,1,21,,11,175,876,204,611,61,7
Florida,florida,St. Lucie,St. Lucie County Florida,Metropolitan Counties,"298,563",213,0.7134,3,23,,34,153,"1,449",353,"1,002",94,19
South Carolina,south carolina,Spartanburg,Spartanburg County South Carolina,Metropolitan Counties,"297,302",654,2.1998,13,100,,137,404,"4,783","1,159","3,300",324,20
New York,new york,Duchess,Dutchess County New York,Metropolitan Counties,"295,754",53,0.1792,0,21,,2,30,544,99,433,12,1
New Jersey,new jersey,Gloucester,Gloucester County New Jersey,Metropolitan Counties,"291,479",2,0.0069,0,0,,0,2,1,0,1,0,0
Maine,maine,Cumberland,Cumberland County Maine,Metropolitan Counties,"289,977",25,0.0862,0,,3,3,19,549,197,318,34,1
Missouri,missouri,Greene,Greene County Missouri,Metropolitan Counties,"288,072",55,0.1909,1,16,,20,18,"1,463",392,927,144,6
Illinois,illinois,Winnebago,Winnebago County Illinois,Metropolitan Counties,"287,078",141,0.4912,2,23,,25,91,669,247,368,54,1
Florida,florida,Leon,Leon County Florida,Metropolitan Counties,"286,272",414,1.4462,1,27,,37,349,"2,353",567,"1,670",116,6
Michigan,michigan,Ingham,Ingham County Michigan,Metropolitan Counties,"286,085",134,0.4684,0,34,,5,95,540,180,327,33,2
Colorado,colorado,Weld,Weld County Colorado,Metropolitan Counties,"285,174",141,0.4944,2,20,,5,114,689,200,424,65,10
South Carolina,south carolina,Lexington,Lexington County South Carolina,Metropolitan Counties,"281,833",578,2.0509,15,57,,84,422,"4,445",906,"3,135",404,12
California,california,San Luis Obispo,San Luis Obispo County California,Metropolitan Counties,"281,401",324,1.1514,3,17,,15,289,"1,347",461,873,13,3
Michigan,michigan,Ottawa,Ottawa County Michigan,Metropolitan Counties,"279,955",489,1.7467,0,179,,23,287,"2,442",456,"1,889",97,20
Pennsylvania,pennsylvania,Erie,Erie County Pennsylvania,Metropolitan Counties,"278,045",0,0,0,0,,0,0,1,0,1,0,0
Oklahoma,oklahoma,Cleveland,Cleveland County Oklahoma,Metropolitan Counties,"274,458",52,0.1895,1,8,,4,39,303,126,147,30,5
New Jersey,new jersey,Atlantic,Atlantic County New Jersey,Metropolitan Counties,"274,219",0,0,0,0,,0,0,0,0,0,0,0
California,california,Santa Cruz,Santa Cruz County California,Metropolitan Counties,"274,146",295,1.0761,0,25,,40,230,"1,935",604,"1,323",8,15
Georgia,georgia,Clayton,Clayton County Georgia,Metropolitan Counties,"273,955",3,0.011,0,,0,0,3,10,0,7,3,0
Georgia,georgia,Clayton County Police Department,Clayton County Georgia,Metropolitan Counties,"273,955","1,202",4.3876,18,,88,550,546,"8,275","2,513","4,604","1,158",7
Texas,texas,Webb,Webb County Texas,Metropolitan Counties,"269,721",66,0.2447,0,9,,6,51,217,91,111,15,0
Washington,washington,Thurston,Thurston County Washington,Metropolitan Counties,"269,536",239,0.8867,3,35,,25,176,"2,434",875,"1,359",200,17
California,california,Merced,Merced County California,Metropolitan Counties,"268,455",432,1.6092,10,20,,30,372,"1,605",596,955,54,10
Indiana,indiana,St. Joseph,St. Joseph County Indiana,Metropolitan Counties,"268,441",165,0.6147,1,13,,24,127,"1,250",421,783,46,2
Illinois,illinois,Madison,Madison County Illinois,Metropolitan Counties,"266,209",71,0.2667,0,6,,8,57,562,178,340,44,3
Illinois,illinois,St. Clair,St. Clair County Illinois,Metropolitan Counties,"264,052",104,0.3939,3,20,,32,49,558,303,219,36,7
California,california,Marin,Marin County California,Metropolitan Counties,"261,221",95,0.3637,3,5,,20,67,746,189,554,3,4
Michigan,michigan,Kalamazoo,Kalamazoo County Michigan,Metropolitan Counties,"260,263",239,0.9183,5,51,,34,149,"2,181",437,"1,664",80,14
Washington,washington,Kitsap,Kitsap County Washington,Metropolitan Counties,"260,131",347,1.3339,6,67,,44,230,"3,830",874,"2,665",291,18
Florida,florida,Alachua,Alachua County Florida,Metropolitan Counties,"259,964",543,2.0888,1,60,,74,408,"1,864",570,"1,209",85,14
Wisconsin,wisconsin,Brown,Brown County Wisconsin,Metropolitan Counties,"258,718",68,0.2628,0,,4,4,60,869,105,729,35,0
Texas,texas,Jefferson,Jefferson County Texas,Metropolitan Counties,"254,308",36,0.1416,0,2,,4,30,395,138,217,40,2
North Carolina,north carolina,Buncombe,Buncombe County North Carolina,Metropolitan Counties,"253,178",129,0.5095,4,,13,26,86,"2,008",708,"1,172",128,19
Minnesota,minnesota,Washington,Washington County Minnesota,Metropolitan Counties,"251,597",39,0.155,1,11,,5,22,750,121,585,44,3
Louisiana,louisiana,Caddo,Caddo Parish Louisiana,Metropolitan Counties,"251,460",104,0.4136,2,4,,9,89,862,242,541,79,7
South Carolina,south carolina,York,York County South Carolina,Metropolitan Counties,"251,195",371,1.4769,6,39,,43,283,"2,039",528,"1,400",111,8
Maryland,maryland,Harford,Harford County Maryland,Metropolitan Counties,"250,290",425,1.698,5,31,,103,286,"2,145",479,"1,587",79,1
Louisiana,louisiana,St. Tammany,St. Tammany Parish Louisiana,Metropolitan Counties,"250,088",219,0.8757,3,28,,18,170,"1,730",314,"1,305",111,9
Arkansas,arkansas,Benton,Benton County Arkansas,Metropolitan Counties,"249,672",99,0.3965,1,40,,0,58,483,225,239,19,0
Washington,washington,Yakima,Yakima County Washington,Metropolitan Counties,"248,830",86,0.3456,7,11,,19,49,"1,521",560,763,198,15
Pennsylvania,pennsylvania,Cumberland,Cumberland County Pennsylvania,Metropolitan Counties,"246,338",0,0,0,0,,0,0,0,0,0,0,0
Texas,texas,McLennan,McLennan County Texas,Metropolitan Counties,"245,671",80,0.3256,1,29,,5,45,473,182,250,41,2
Maryland,maryland,Frederick,Frederick County Maryland,Metropolitan Counties,"245,322",163,0.6644,2,6,,29,126,"1,703",343,"1,311",49,
Utah,utah,Weber,Weber County Utah,Metropolitan Counties,"243,645",51,0.2093,1,14,,9,27,748,129,570,49,1
Mississippi,mississippi,Hinds,Hinds County Mississippi,Metropolitan Counties,"242,891",45,0.1853,1,3,,2,39,491,273,176,42,0
Louisiana,louisiana,Lafayette,Lafayette Parish Louisiana,Metropolitan Counties,"240,098",330,1.3744,5,30,,54,241,"1,732",380,"1,183",169,7
Georgia,georgia,Cherokee,Cherokee County Georgia,Metropolitan Counties,"235,900",114,0.4833,2,,23,17,72,"1,756",322,"1,337",97,
Missouri,missouri,Clay,Clay County Missouri,Metropolitan Counties,"235,637",32,0.1358,0,2,,3,27,221,86,120,15,3
New York,new york,Oneida,Oneida County New York,Metropolitan Counties,"232,500",47,0.2022,0,31,,0,16,435,98,308,29,1
Ohio,ohio,Mahoning,Mahoning County Ohio,Metropolitan Counties,"231,900",7,0.0302,0,,3,0,4,127,22,98,7,0
Ohio,ohio,Lake,Lake County Ohio,Metropolitan Counties,"229,245",220,0.9597,4,0,24,4,188,386,81,295,10,0
Virginia,virginia,Arlington County Police Department,Arlington County Virginia,Metropolitan Counties,"229,164",317,1.3833,1,37,,114,165,"3,330",204,"2,962",164,10
Florida,florida,St. Johns,St. Johns County Florida,Metropolitan Counties,"226,640",311,1.3722,2,20,,23,266,"2,706",467,"2,105",134,8
Alabama,alabama,Montgomery,Montgomery County Alabama,Metropolitan Counties,"226,519",19,0.0839,0,2,,6,11,188,61,108,19,
New York,new york,Saratoga,Saratoga County New York,Metropolitan Counties,"226,249",76,0.3359,0,16,,6,54,"1,004",178,805,21,3
Arkansas,arkansas,Washington,Washington County Arkansas,Metropolitan Counties,"225,477",153,0.6786,0,16,,2,135,611,215,358,38,6
California,california,Butte,Butte County California,Metropolitan Counties,"225,411",155,0.6876,4,20,,14,117,"1,422",708,693,21,0
Ohio,ohio,Warren,Warren County Ohio,Metropolitan Counties,"224,469",58,0.2584,0,24,,4,30,988,159,777,52,3
Missouri,missouri,Jefferson,Jefferson County Missouri,Metropolitan Counties,"224,124",555,2.4763,2,44,,17,492,"2,101",369,"1,547",185,17
Texas,texas,Smith,Smith County Texas,Metropolitan Counties,"222,936",210,0.942,7,0,,35,168,"1,930",588,"1,095",247,10
North Carolina,north carolina,Union,Union County North Carolina,Metropolitan Counties,"222,742",138,0.6196,1,,13,15,109,"2,076",588,"1,402",86,14
Arizona,arizona,Yavapai,Yavapai County Arizona,Metropolitan Counties,"222,255",245,1.1023,1,28,,6,210,"1,152",343,708,101,14
North Carolina,north carolina,New Hanover,New Hanover County North Carolina,Metropolitan Counties,"220,358",159,0.7216,5,,10,43,101,"2,006",560,"1,374",72,5
Iowa,iowa,Linn,Linn County Iowa,Metropolitan Counties,"219,916",23,0.1046,1,4,,1,17,266,120,117,29,0
Georgia,georgia,Henry,Henry County Georgia,Metropolitan Counties,"217,739",2,0.0092,0,,0,2,0,112,4,108,0,
Georgia,georgia,Henry County Police Department,Henry County Georgia,Metropolitan Counties,"217,739",367,1.6855,6,,40,136,185,"4,428","1,069","2,969",390,8
Texas,texas,Brazos,Brazos County Texas,Metropolitan Counties,"215,037",91,0.4232,2,11,,3,75,325,107,206,12,0
New Mexico,new mexico,Dona Ana,Doña Ana County New Mexico,Metropolitan Counties,"214,295",196,0.9146,3,,35,10,148,951,323,521,107,
California,california,Yolo,Yolo County California,Metropolitan Counties,"213,016",87,0.4084,1,13,,5,68,309,109,185,15,6
New York,new york,Niagara,Niagara County New York,Metropolitan Counties,"212,652",55,0.2586,0,24,,7,24,713,160,528,25,4
Oregon,oregon,Jackson,Jackson County Oregon,Metropolitan Counties,"212,567",180,0.8468,3,21,,12,144,"1,449",423,888,138,9
Georgia,georgia,Forsyth,Forsyth County Georgia,Metropolitan Counties,"212,438",134,0.6308,0,,28,8,98,"1,446",265,"1,116",65,
Washington,washington,Whatcom,Whatcom County Washington,Metropolitan Counties,"212,284",98,0.4616,5,23,,9,61,"1,094",380,638,76,10
Tennessee,tennessee,Williamson,Williamson County Tennessee,Metropolitan Counties,"211,672",56,0.2646,0,9,,1,46,393,90,284,19,1
Illinois,illinois,Champaign,Champaign County Illinois,Metropolitan Counties,"208,861",82,0.3926,2,26,,3,51,522,158,333,31,7
Alabama,alabama,Shelby,Shelby County Alabama,Metropolitan Counties,"208,713",131,0.6277,3,40,,15,73,"1,140",296,754,90,
Pennsylvania,pennsylvania,Washington,Washington County Pennsylvania,Metropolitan Counties,"208,261",1,0.0048,0,0,,0,1,1,0,1,0,0
Idaho,idaho,Canyon,Canyon County Idaho,Metropolitan Counties,"207,478",92,0.4434,1,18,,1,72,560,219,240,101,2
Arizona,arizona,Mohave,Mohave County Arizona,Metropolitan Counties,"204,737",139,0.6789,2,14,,16,107,"2,013",689,"1,186",138,13
Arizona,arizona,Yuma,Yuma County Arizona,Metropolitan Counties,"204,275",124,0.607,5,22,,10,87,"1,020",419,535,66,12
Alabama,alabama,Tuscaloosa,Tuscaloosa County Alabama,Metropolitan Counties,"203,976",182,0.8923,2,9,,18,153,"1,073",307,664,102,
Florida,florida,Clay,Clay County Florida,Metropolitan Counties,"203,967",496,2.4318,4,72,,73,347,"3,259",562,"2,579",118,12
Ohio,ohio,Trumbull,Trumbull County Ohio,Metropolitan Counties,"203,751",25,0.1227,0,5,,1,19,331,140,169,22,2
Alabama,alabama,Baldwin,Baldwin County Alabama,Metropolitan Counties,"203,709",115,0.5645,0,9,,33,73,648,225,390,33,
Indiana,indiana,Elkhart,Elkhart County Indiana,Metropolitan Counties,"203,474",8,0.0393,0,2,,4,2,577,116,423,38,0
South Carolina,south carolina,Berkeley,Berkeley County South Carolina,Metropolitan Counties,"202,786",409,2.0169,4,47,,54,304,"2,907",895,"1,710",302,12
Ohio,ohio,Clermont,Clermont County Ohio,Metropolitan Counties,"201,973",100,0.4951,0,17,,4,79,"1,275",430,802,43,5
Maine,maine,York,York County Maine,Metropolitan Counties,"201,169",23,0.1143,0,,2,2,19,352,115,232,5,0
Georgia,georgia,Muscogee,Muscogee County Georgia,Metropolitan Counties,"200,579",0,0,0,,0,0,0,0,0,0,0,
Minnesota,minnesota,St. Louis,St. Louis County Minnesota,Metropolitan Counties,"200,431",55,0.2744,0,17,,1,37,833,275,503,55,8
Louisiana,louisiana,Calcasieu,Calcasieu Parish Louisiana,Metropolitan Counties,"198,788",526,2.646,3,71,,23,429,"4,257","1,241","2,777",239,12
Illinois,illinois,Sangamon,Sangamon County Illinois,Metropolitan Counties,"198,712",172,0.8656,0,36,,15,121,593,178,368,47,4
Florida,florida,Okaloosa,Okaloosa County Florida,Metropolitan Counties,"198,664",555,2.7937,6,48,,49,452,"3,110",600,"2,382",128,2
North Carolina,north carolina,Cabarrus,Cabarrus County North Carolina,Metropolitan Counties,"196,762",30,0.1525,0,,4,8,18,601,196,389,16,4
New York,new york,Broome,Broome County New York,Metropolitan Counties,"196,567",58,0.2951,0,20,,5,33,727,111,600,16,0
Wisconsin,wisconsin,Racine,Racine County Wisconsin,Metropolitan Counties,"195,080",23,0.1179,0,,5,3,15,346,80,248,18,0
South Carolina,south carolina,Anderson,Anderson County South Carolina,Metropolitan Counties,"194,692",752,3.8625,18,48,,94,592,"6,496","1,538","4,210",748,34
Georgia,georgia,Hall,Hall County Georgia,Metropolitan Counties,"193,535",188,0.9714,2,,21,23,142,"1,766",488,"1,102",176,17
Tennessee,tennessee,Montgomery,Montgomery County Tennessee,Metropolitan Counties,"193,479",122,0.6306,1,7,,3,111,670,190,440,40,5
Michigan,michigan,Saginaw,Saginaw County Michigan,Metropolitan Counties,"193,307",105,0.5432,0,22,,15,68,608,99,467,42,5
Ohio,ohio,Delaware,Delaware County Ohio,Metropolitan Counties,"193,013",41,0.2124,1,21,,10,9,"1,088",272,795,21,3
Washington,washington,Benton,Benton County Washington,Metropolitan Counties,"190,309",66,0.3468,0,6,,5,55,406,111,273,22,2
Pennsylvania,pennsylvania,Butler,Butler County Pennsylvania,Metropolitan Counties,"186,818",1,0.0054,0,0,,0,1,0,0,0,0,0
Illinois,illinois,Peoria,Peoria County Illinois,Metropolitan Counties,"186,221",97,0.5209,1,8,,16,72,707,164,511,32,8
Indiana,indiana,Tippecanoe,Tippecanoe County Indiana,Metropolitan Counties,"185,826",48,0.2583,0,,6,5,37,638,219,368,51,2
North Carolina,north carolina,Johnston,Johnston County North Carolina,Metropolitan Counties,"185,660",145,0.781,2,,22,29,92,"1,892",801,"1,014",77,2
South Dakota,south dakota,Minnehaha,Minnehaha County South Dakota,Metropolitan Counties,"185,197",46,0.2484,0,8,,2,36,278,72,183,23,2
California,california,El Dorado,El Dorado County California,Metropolitan Counties,"184,452",252,1.3662,9,46,,32,165,"2,031",577,"1,412",42,4
Wisconsin,wisconsin,Outagamie,Outagamie County Wisconsin,Metropolitan Counties,"183,245",24,0.131,0,2,,0,22,375,134,231,10,0
Indiana,indiana,Vanderburgh,Vanderburgh County Indiana,Metropolitan Counties,"181,877",53,0.2914,0,2,,12,39,726,141,560,25,2
Florida,florida,Bay,Bay County Florida,Metropolitan Counties,"181,635",338,1.8609,6,39,,24,269,"2,486",554,"1,767",165,1
California,california,Imperial,Imperial County California,Metropolitan Counties,"180,191",219,1.2154,0,6,,7,206,625,202,395,28,21
New York,new york,Ulster,Ulster County New York,Metropolitan Counties,"180,143",41,0.2276,0,14,,1,26,230,38,180,12,0
South Carolina,south carolina,Beaufort,Beaufort County South Carolina,Metropolitan Counties,"179,589",429,2.3888,10,64,,62,293,"2,623",613,"1,870",140,6
California,california,Shasta,Shasta County California,Metropolitan Counties,"179,533",697,3.8823,3,69,,26,599,958,423,489,46,23
Kansas,kansas,Shawnee,Shawnee County Kansas,Metropolitan Counties,"178,725",73,0.4084,0,8,,4,61,814,238,533,43,6
Florida,florida,Hernando,Hernando County Florida,Metropolitan Counties,"178,439",472,2.6452,2,43,,53,374,"3,651",701,"2,742",208,19
Ohio,ohio,Medina,Medina County Ohio,Metropolitan Counties,"176,395",2,0.0113,0,0,,0,2,140,57,83,0,1
Tennessee,tennessee,Sumner,Sumner County Tennessee,Metropolitan Counties,"175,989",110,0.625,0,17,,2,91,470,151,295,24,4
North Carolina,north carolina,Pitt,Pitt County North Carolina,Metropolitan Counties,"175,842",160,0.9099,4,,10,16,130,961,353,577,31,2
Nebraska,nebraska,Sarpy,Sarpy County Nebraska,Metropolitan Counties,"175,692",39,0.222,0,8,,6,25,666,57,550,59,2
Oregon,oregon,Deschutes,Deschutes County Oregon,Metropolitan Counties,"175,268",94,0.5363,0,15,,5,74,652,170,436,46,5
Missouri,missouri,Boone,Boone County Missouri,Metropolitan Counties,"174,974",126,0.7201,5,8,,15,98,643,155,434,54,8
Mississippi,mississippi,DeSoto,DeSoto County Mississippi,Metropolitan Counties,"173,323",31,0.1789,1,11,,6,13,435,195,226,14,0
Illinois,illinois,McLean,McLean County Illinois,Metropolitan Counties,"173,166",20,0.1155,0,3,,0,17,167,43,116,8,1
Florida,florida,Charlotte,Charlotte County Florida,Metropolitan Counties,"173,115",325,1.8774,0,30,,25,270,"2,360",400,"1,864",96,6
Michigan,michigan,Muskegon,Muskegon County Michigan,Metropolitan Counties,"172,790",61,0.353,0,21,,1,39,608,120,455,33,4
Iowa,iowa,Scott,Scott County Iowa,Metropolitan Counties,"172,126",57,0.3312,0,15,,0,42,164,109,47,8,3
North Dakota,north dakota,Cass,Cass County North Dakota,Metropolitan Counties,"171,512",20,0.1166,0,5,,0,15,163,48,94,21,0
North Carolina,north carolina,Iredell,Iredell County North Carolina,Metropolitan Counties,"169,866",149,0.8772,2,,9,7,131,"1,349",453,789,107,5
Wisconsin,wisconsin,Winnebago,Winnebago County Wisconsin,Metropolitan Counties,"169,546",13,0.0767,0,,0,0,13,230,72,143,15,0
Pennsylvania,pennsylvania,Beaver,Beaver County Pennsylvania,Metropolitan Counties,"168,871",1,0.0059,0,0,,0,1,0,0,0,0,0
Wisconsin,wisconsin,Kenosha,Kenosha County Wisconsin,Metropolitan Counties,"168,437",31,0.184,1,,3,4,23,446,84,341,21,2
Indiana,indiana,Porter,Porter County Indiana,Metropolitan Counties,"167,688",37,0.2206,2,5,,4,26,443,90,316,37,
Maryland,maryland,Carroll,Carroll County Maryland,Metropolitan Counties,"167,627",116,0.692,0,31,,16,69,783,265,489,29,2
Florida,florida,Santa Rosa,Santa Rosa County Florida,Metropolitan Counties,"167,040",242,1.4488,3,39,,22,178,"1,475",346,"1,042",87,6
Pennsylvania,pennsylvania,Monroe,Monroe County Pennsylvania,Metropolitan Counties,"166,397",0,0,0,0,,0,0,0,0,0,0,0
South Carolina,south carolina,Aiken,Aiken County South Carolina,Metropolitan Counties,"165,829",510,3.0755,8,72,,59,371,"3,282",980,"1,847",455,1
Kentucky,kentucky,Kenton,Kenton County Kentucky,Metropolitan Counties,"165,012",1,0.0061,0,0,,1,0,9,1,8,0,0
Kentucky,kentucky,Kenton County Police Department,Kenton County Kentucky,Metropolitan Counties,"165,012",12,0.0727,0,8,,1,3,149,61,77,11,0
Hawaii,hawaii,Maui Police Department,Maui County Hawaii,Metropolitan Counties,"164,637",557,3.3832,4,94,,113,346,"6,005","1,007","4,416",582,108
North Carolina,north carolina,Davidson,Davidson County North Carolina,Metropolitan Counties,"164,622",80,0.486,1,,5,17,57,"1,675",976,604,95,14
Ohio,ohio,Greene,Greene County Ohio,Metropolitan Counties,"164,427",24,0.146,0,8,,3,13,323,117,188,18,4
Texas,texas,Ellis,Ellis County Texas,Metropolitan Counties,"163,632",50,0.3056,1,7,,3,39,419,110,250,59,1
Colorado,colorado,Pueblo,Pueblo County Colorado,Metropolitan Counties,"163,591",17,0.1039,1,1,,1,14,"1,186",210,855,121,2
Kansas,kansas,Wyandotte,Wyandotte County Kansas,Metropolitan Counties,"163,369",26,0.1591,0,0,,4,22,56,5,47,4,1
Ohio,ohio,Portage,Portage County Ohio,Metropolitan Counties,"162,275",37,0.228,0,,14,9,14,"1,061",235,796,30,4
Wisconsin,wisconsin,Rock,Rock County Wisconsin,Metropolitan Counties,"161,448",38,0.2354,1,,5,4,28,378,130,197,51,0
Vermont,vermont,Chittenden,Chittenden County Vermont,Metropolitan Counties,"161,382",0,0,0,0,,0,0,1,0,1,0,0
Texas,texas,Midland,Midland County Texas,Metropolitan Counties,"161,077",77,0.478,2,0,,13,62,733,180,457,96,1
Pennsylvania,pennsylvania,Centre,Centre County Pennsylvania,Metropolitan Counties,"160,580",0,0,0,0,,0,0,0,0,0,0,0
New York,new york,Rensselaer,Rensselaer County New York,Metropolitan Counties,"160,266",12,0.0749,0,0,,3,9,289,43,240,6,0
Texas,texas,Johnson,Johnson County Texas,Metropolitan Counties,"159,990",149,0.9313,1,23,,3,122,720,200,452,68,3
Michigan,michigan,St. Clair,St. Clair County Michigan,Metropolitan Counties,"159,875",130,0.8131,0,39,,5,86,"1,043",231,754,58,14
Michigan,michigan,Jackson,Jackson County Michigan,Metropolitan Counties,"159,494",163,1.022,1,37,,9,116,581,132,426,23,5
Texas,texas,Ector,Ector County Texas,Metropolitan Counties,"159,436",456,2.8601,2,17,,43,394,"2,125",408,"1,417",300,6
North Carolina,north carolina,Alamance,Alamance County North Carolina,Metropolitan Counties,"158,276",114,0.7203,1,,8,6,99,832,416,381,35,3
Montana,montana,Yellowstone,Yellowstone County Montana,Metropolitan Counties,"157,048",89,0.5667,1,14,,8,66,757,145,489,123,13
