STATE,STATE_LOWER,COUNTY,COUNTY_STATE,METRO_FLAG,POULATION,VIOLENT_CRIME,CRIMES_PER_THOUSAND,MURDER_NON_NEGLIGENT_MANSLAUGHTER,RAPE_REVISED_DEFINITION,RAPE_LEGACTY_DEFINITION,ROBBERY,AGGRAVATED_ASSAULT,PROPERTY_CRIME,BURGLARY,LARCENY_THEFT,MOTOR_VEHICLE_THEFT,ARSON
New York,new york,Lewis,Lewis County New York,Nonmetropolitan Counties,"26,957",4,0.1484,0,0,,0,4,67,29,35,3,1
Tennessee,tennessee,Lauderdale,Lauderdale County Tennessee,Nonmetropolitan Counties,"26,936",50,1.8563,0,1,,3,46,331,101,183,47,2
Florida,florida,Bradford,Bradford County Florida,Nonmetropolitan Counties,"26,928",48,1.7825,0,6,,4,38,179,80,93,6,0
Kentucky,kentucky,Logan,Logan County Kentucky,Nonmetropolitan Counties,"26,910",10,0.3716,0,3,,1,6,158,83,68,7,1
Alabama,alabama,Geneva,Geneva County Alabama,Metropolitan Counties,"26,777",41,1.5312,0,9,,0,32,229,91,113,25,
Georgia,georgia,Peach,Peach County Georgia,Metropolitan Counties,"26,720",28,1.0479,0,,1,8,19,267,99,147,21,0
Iowa,iowa,Boone,Boone County Iowa,Nonmetropolitan Counties,"26,643",7,0.2627,0,2,,0,5,51,16,30,5,0
Arkansas,arkansas,St. Francis,St. Francis County Arkansas,Nonmetropolitan Counties,"26,589",16,0.6018,0,2,,1,13,273,73,196,4,0
Tennessee,tennessee,White,White County Tennessee,Nonmetropolitan Counties,"26,521",54,2.0361,2,4,,0,48,375,78,264,33,2
Alabama,alabama,Barbour,Barbour County Alabama,Nonmetropolitan Counties,"26,489",32,1.208,2,4,,0,26,115,59,45,11,
Louisiana,louisiana,Morehouse,Morehouse Parish Louisiana,Nonmetropolitan Counties,"26,395",0,0,0,0,,0,0,128,22,99,7,0
Michigan,michigan,Charlevoix,Charlevoix County Michigan,Nonmetropolitan Counties,"26,238",30,1.1434,1,13,,0,16,73,17,54,2,0
Virginia,virginia,Fluvanna,Fluvanna County Virginia,Metropolitan Counties,"26,235",30,1.1435,1,9,,1,19,190,37,145,8,0
Wisconsin,wisconsin,Juneau,Juneau County Wisconsin,Nonmetropolitan Counties,"26,224",41,1.5635,1,9,,0,31,200,63,126,11,1
Kentucky,kentucky,Grayson,Grayson County Kentucky,Nonmetropolitan Counties,"26,221",7,0.267,0,3,,0,4,124,51,56,17,0
Colorado,colorado,Montezuma,Montezuma County Colorado,Nonmetropolitan Counties,"26,168",20,0.7643,0,4,,0,16,159,44,109,6,2
Arkansas,arkansas,Johnson,Johnson County Arkansas,Nonmetropolitan Counties,"26,141",64,2.4483,2,17,,0,45,200,118,69,13,1
Michigan,michigan,Oceana,Oceana County Michigan,Nonmetropolitan Counties,"26,105",32,1.2258,0,9,,0,23,240,54,178,8,2
Missouri,missouri,Audrain,Audrain County Missouri,Nonmetropolitan Counties,"26,096",13,0.4982,0,2,,0,11,106,35,62,9,0
Tennessee,tennessee,McNairy,McNairy County Tennessee,Nonmetropolitan Counties,"26,066",78,2.9924,0,8,,3,67,325,79,213,33,8
Texas,texas,Gillespie,Gillespie County Texas,Nonmetropolitan Counties,"25,963",5,0.1926,2,1,,0,2,75,17,51,7,0
Idaho,idaho,Elmore,Elmore County Idaho,Nonmetropolitan Counties,"25,876",14,0.541,0,1,,0,13,44,10,27,7,0
Alabama,alabama,Cherokee,Cherokee County Alabama,Nonmetropolitan Counties,"25,859",52,2.0109,2,8,,3,39,346,118,194,34,
Kentucky,kentucky,Woodford,Woodford County Kentucky,Metropolitan Counties,"25,793",0,0,0,0,,0,0,18,7,11,0,0
Oregon,oregon,Union,Union County Oregon,Nonmetropolitan Counties,"25,790",10,0.3877,0,6,,1,3,241,68,156,17,2
Minnesota,minnesota,Mille Lacs,Mille Lacs County Minnesota,Metropolitan Counties,"25,788",15,0.5817,0,4,,0,11,395,90,272,33,0
Oregon,oregon,Wasco,Wasco County Oregon,Nonmetropolitan Counties,"25,775",18,0.6984,1,2,,0,15,115,39,59,17,0
Maryland,maryland,Somerset,Somerset County Maryland,Metropolitan Counties,"25,768",15,0.5821,0,2,,0,13,44,9,34,1,0
North Carolina,north carolina,Anson,Anson County North Carolina,Nonmetropolitan Counties,"25,759",42,1.6305,2,,2,2,36,251,160,89,2,1
